hours,CpG,TT,TC,CT,CC
0,1,7,17,41,1235
0,2,5,14,33,1241
0,3,5,23,35,1217
2,1,6,24,50,1514
2,2,12,21,51,1490
2,3,12,33,32,1508
4,1,4,15,45,1821
4,2,2,23,62,1793
4,3,9,36,49,1786
6,1,4,38,60,2119
6,2,4,33,53,2123
6,3,4,40,39,2147
8,1,3,53,62,2092
8,2,7,23,69,2099
8,3,6,50,60,2079
10,1,4,29,67,1932
10,2,3,33,72,1933
10,3,4,31,44,1964
12,1,2,29,56,1581
12,2,8,25,70,1562
12,3,3,67,30,1566
14,1,6,27,58,1783
14,2,10,33,79,1745
14,3,16,48,47,1770
16,1,2,24,39,1192
16,2,8,18,61,1163
16,3,12,25,31,1183
18,1,11,30,62,2273
18,2,15,49,69,2237
18,3,16,59,45,2252
20,1,6,39,71,1491
20,2,8,29,42,1507
20,3,9,31,45,1510
