hours,CpG,TT,TC,CT,CC
0,1,7217,2148,4898,29945
0,2,2506,2310,4159,35230
0,3,875,5171,4815,33267
2,1,8004,3484,2326,21130
2,2,4077,2632,3418,24786
2,3,5037,4740,4419,20692
4,1,9002,4978,9240,33162
4,2,7205,6355,14152,28597
4,3,7417,8752,9051,31112
6,1,12954,4435,7930,35586
6,2,7160,2062,10580,41010
6,3,12381,5395,8905,34004
8,1,11489,7242,7116,22391
8,2,7259,5460,11639,23758
8,3,10135,9568,8555,19919
10,1,15619,6456,8208,31249
10,2,9824,5532,16240,29865
10,3,15038,10067,10288,26050
12,1,23616,5431,9313,20202
12,2,16488,2561,16347,23185
12,3,23297,8432,6114,20036
14,1,27426,4039,11797,17437
14,2,21742,5342,13684,19870
14,3,26177,9937,5523,18993
16,1,38955,4748,9741,15609
16,2,34072,2585,11721,20588
16,3,38613,8653,3855,17801
18,1,33112,5671,9075,14874
18,2,33253,3689,12772,13249
18,3,34977,10643,4965,12174
20,1,32833,3448,7599,16459
20,2,33174,4875,8653,13604
20,3,33997,7319,8522,10448
