hour, label, CErr_BS, mCErr_BS, hmCErr_BS, fCErr_BS, CErr_oxBS, mCErr_oxBS, hmCErr_oxBS, fCErr_oxBS, CErr_MAB, mCErr_MAB, hmCErr_MAB, fCErr_MAB, MABError_MAB, process
2, 2h, 0.017, 0.017273673, 0.01462323, 0.186, 0.006, 0.028496978, 0.16842456, 0.186, 0.01, 0.02722632, 0.013303142, 0.186, 0.042, no-rep
4, 4h, 0.009, 0.008667657, 0.02030792, 0.186, 0.019, 0.026654488, 0.09344433, 0.186, 0.008, 0.02348443, 0.019104803, 0.186, 0.042, no-rep
6, 6h, 0.012, 0.006347599, 0.01174783, 0.186, 0.01, 0.001608394, 0.09345042, 0.186, 0.011, 0.02850877, 0.006593407, 0.186, 0.042, no-rep
8, 8h, 0.015, 0.018438443, 0.02855864, 0.186, 0.006, 0.017725439, 0.06693331, 0.186, 0.011, 0.02538741, 0.013114754, 0.186, 0.042, no-rep
10, 10h, 0.015, 0.018015307, 0.02218218, 0.186, 0.003, 0.012156415, 0.10370559, 0.186, 0.012, 0.01268912, 0.013100437, 0.186, 0.042, no-rep
12, 12h, 0.013, 0.026369887, 0.01212508, 0.186, 0.003, 0.001797834, 0.07838373, 0.186, 0.006, 0.01694247, 0.026409145, 0.186, 0.042, no-rep
14, 14h, 0.008, 0.017301834, 0.02122031, 0.186, 0.006, 0.009199986, 0.11471393, 0.186, 0.007, 0.03305785, 0.002770083, 0.186, 0.042, no-rep
16, 16h, 0.015, 0.014923837, 0.015079, 0.186, 0.006, 0.023696231, 0.09635185, 0.186, 0.006, 0.02298173, 0.017482517, 0.186, 0.042, no-rep
18, 18h, 0.019, 0.019933789, 0.013604, 0.186, 0.01, 0.026075896, 0.08562588, 0.186, 0.009, 0.03177458, 0.016255268, 0.186, 0.042, no-rep
20, 20h, 0.016, 0.00865925, 0.0174645, 0.186, 0.022, 0.001495663, 0.12041924, 0.186, 0.009, 0.02597403, 0.021666667, 0.186, 0.042, no-rep
24, 24h, 0.011, 0.010704143, 0.01099301, 0.186, 0.002, 0.026478786, 0.0852581, 0.186, 0.009, 0.02597403, 0.021666667, 0.186, 0.042, no-rep
