hour,CpG,TT,TC,CT,CC
0,1,1,39,769,23075
0,2,655,405,115,22708
0,3,304,495,121,22984
2,1,538,1046,729,15605
2,2,319,1269,67,16255
2,3,298,703,345,16574
4,1,663,784,965,21508
4,2,299,716,99,22764
4,3,104,852,493,22444
6,1,570,817,1225,23313
6,2,1030,194,1614,23030
6,3,591,2865,578,21845
8,1,1449,1643,1580,19683
8,2,2667,1911,1635,18140
8,3,2214,921,1504,19703
10,1,2975,2373,3259,22462
10,2,5078,4326,2084,19831
10,3,4648,2972,3262,20272
12,1,2394,2556,2196,14960
12,2,4719,1828,2084,13438
12,3,4457,2292,1648,13560
14,1,4074,2812,2935,18567
14,2,7481,2813,2662,15414
14,3,7115,2861,3326,14889
16,1,6870,3550,4841,16035
16,2,9273,3018,3963,14773
16,3,8194,2906,3008,16976
18,1,6493,2848,3265,20165
18,2,8326,4162,2538,17723
18,3,8237,3988,3564,16768
20,1,5590,2071,1895,16997
20,2,7794,4878,2017,11864
20,3,6540,3387,2646,13796
