day,CpG,TT,TC,CT,CC
0,1,657,302,302,2370
0,2,884,257,331,2208
0,3,334,277,324,2594
0,4,292,302,247,2682
0,5,500,405,337,2501
0,6,346,260,258,2658
0,7,401,275,331,2505
0,8,493,429,328,2381
0,9,651,412,334,2378
0,10,524,297,388,2564
0,11,908,321,343,2213
0,12,768,371,278,1942
0,13,846,381,346,2203
1,1,1148,360,391,2501
1,2,1372,303,455,2316
1,3,610,390,416,2850
1,4,563,417,395,2916
1,5,924,514,412,2655
1,6,672,363,421,2749
1,7,744,454,484,2609
1,8,885,519,520,2454
1,9,1128,572,455,2392
1,10,946,456,531,2633
1,11,1543,403,479,2139
1,12,1247,530,381,1818
1,13,1470,528,490,2040
2,1,1075,311,353,2005
2,2,1252,279,398,1827
2,3,528,344,364,2374
2,4,455,403,347,2399
2,5,799,428,381,2231
2,6,600,333,329,2359
2,7,616,380,389,2235
2,8,804,510,368,2056
2,9,1007,490,354,1987
2,10,820,430,436,2203
2,11,1413,380,373,1724
2,12,1140,431,268,1571
2,13,1356,425,363,1740
3,1,1075,311,353,2005
3,2,1252,279,398,1827
3,3,528,344,364,2374
3,4,455,403,347,2399
3,5,799,428,381,2231
3,6,600,333,329,2359
3,7,616,380,389,2235
3,8,804,510,368,2056
3,9,1007,490,354,1987
3,10,820,430,436,2203
3,11,1413,380,373,1724
3,12,1140,431,268,1571
3,13,1356,425,363,1740
