day,CpG,TT,TC,CT,CC
0,1,2733,168,136,355
0,2,2914,110,148,286
0,3,2119,289,259,619
0,4,2327,239,212,505
0,5,2777,188,136,381
0,6,2302,172,215,562
0,7,2565,174,167,440
0,8,2864,163,120,316
0,9,2974,151,98,301
0,10,2941,136,161,379
0,11,3030,116,113,319
0,12,2756,127,60,231
0,13,3149,102,91,261
1,1,2431,141,118,288
1,2,2567,93,129,239
1,3,2014,201,216,485
1,4,2227,176,148,348
1,5,2555,141,108,268
1,6,2152,144,162,428
1,7,2375,136,117,335
1,8,2584,110,86,294
1,9,2672,110,72,272
1,10,2609,141,112,305
1,11,2700,83,98,289
1,12,2455,93,70,183
1,13,2775,102,79,201
2,1,2609,112,96,177
2,2,2719,89,102,160
2,3,2274,205,139,345
2,4,2471,141,112,231
2,5,2789,95,74,158
2,6,2424,104,139,281
2,7,2662,95,79,192
2,8,2848,81,56,136
2,9,2874,83,59,130
2,10,2874,69,104,178
2,11,2909,82,74,174
2,12,2628,53,58,125
2,13,2982,67,58,133
3,1,4016,92,77,160
3,2,4113,72,105,121
3,3,3609,179,157,246
3,4,3806,99,74,151
3,5,4165,66,46,99
3,6,3763,72,116,205
3,7,4048,56,53,94
3,8,4280,44,41,64
3,9,4307,50,39,81
3,10,4348,56,71,118
3,11,4308,79,79,144
3,12,3919,44,49,73
3,13,4407,52,47,87
