day,CpG,TT,TC,CT,CC
0,1,10242,1967,1318,4827
0,2,12916,345,1296,3770
0,3,13055,751,1113,3480
0,4,10396,341,677,6998
0,5,14502,1598,2003,274
0,6,5004,1359,3100,8975
0,7,8410,996,2718,6269
0,8,8853,2476,912,6198
1,1,15857,3173,1054,3185
1,2,13900,4291,520,4579
1,3,17014,2589,1318,2349
1,4,13883,3948,3149,2334
1,5,21404,1076,106,651
1,6,9194,1089,5334,7758
1,7,10047,1243,4787,7204
1,8,16852,726,1858,3890
2,1,6419,172,279,196
2,2,6280,270,71,470
2,3,6362,22,477,213
2,4,5779,192,383,743
2,5,6722,124,83,131
2,6,4955,118,1066,956
2,7,4563,310,1169,1021
2,8,5490,668,459,492
3,1,7361,111,148,75
3,2,7471,54,81,94
3,3,7531,53,94,2
3,4,7029,299,150,202
3,5,7360,129,153,38
3,6,6588,236,568,309
3,7,7296,60,222,118
3,8,7354,143,110,93
