hours,CpG,TT,TC,CT,CC
2,1,0,8,6,659
2,2,0,14,18,616
2,3,0,22,6,632
2,4,0,11,13,644
2,5,1,12,11,635
4,1,3,13,16,855
4,2,2,15,23,812
4,3,5,26,25,820
4,4,7,14,24,842
4,5,2,8,14,860
6,1,1,13,11,844
6,2,3,27,12,786
6,3,3,21,18,812
6,4,3,19,33,814
6,5,2,13,24,826
8,1,3,27,21,1014
8,2,4,14,17,1002
8,3,2,47,13,991
8,4,1,19,34,1012
8,5,3,12,55,1000
10,1,3,23,16,860
10,2,1,20,34,816
10,3,5,45,8,816
10,4,3,20,35,846
10,5,6,19,41,831
12,1,1,20,9,754
12,2,1,20,22,709
12,3,1,36,19,714
12,4,2,10,25,738
12,5,0,15,44,716
14,1,2,8,4,669
14,2,4,17,6,629
14,3,3,27,5,640
14,4,2,15,21,642
14,5,3,14,17,648
16,1,1,4,6,525
16,2,1,3,19,488
16,3,2,18,7,503
16,4,1,5,17,499
16,5,0,10,17,505
18,1,0,16,9,782
18,2,2,15,20,745
18,3,1,42,18,747
18,4,1,7,15,781
18,5,1,9,36,762
20,1,2,6,9,474
20,2,2,6,5,467
20,3,3,21,11,457
20,4,3,7,11,466
20,5,2,9,11,473
24,1,1,11,12,1027
24,2,3,11,28,966
24,3,1,36,13,984
24,4,0,13,25,1017
24,5,1,25,30,989
