hour,CpG,TT,TC,CT,CC
0,1,1,13,10,684
0,2,1,3,10,688
0,3,1,13,18,671
2,1,3,25,15,971
2,2,7,19,16,971
2,3,7,30,19,957
4,1,3,19,25,1055
4,2,2,17,13,1066
4,3,3,17,22,1058
6,1,1,35,23,1364
6,2,0,32,24,1361
6,3,0,24,21,1381
8,1,1,25,13,1390
8,2,2,39,36,1354
8,3,2,36,33,1358
10,1,2,25,30,1334
10,2,2,38,22,1323
10,3,3,33,36,1324
12,1,1,27,14,934
12,2,5,34,15,916
12,3,3,20,26,925
14,1,1,18,15,932
14,2,1,34,18,916
14,3,1,10,24,938
16,1,1,17,6,708
16,2,4,19,14,692
16,3,3,11,16,700
18,1,1,28,18,1400
18,2,4,28,20,1399
18,3,2,25,33,1379
20,1,2,28,15,636
20,2,1,25,5,645
20,3,3,16,16,645
