hour,CpG,TT,TC,CT,CC
0,1,1,54,39,15058
0,2,2,38,45,14734
0,3,0,79,22,15024
0,4,0,49,19,15036
0,5,1,51,30,15070
0,6,0,53,22,15050
0,7,1,85,33,14898
2,1,7,1409,22,16893
2,2,2,67,1270,16589
2,3,2,1194,30,17085
2,4,19,60,2372,15864
2,5,1,54,43,18167
2,6,2,43,1234,16975
2,7,2,1459,46,16717
4,1,5,21,610,6907
4,2,2,16,392,6992
4,3,5,35,1075,6374
4,4,8,29,1582,5924
4,5,9,18,2021,5462
4,6,1,993,12,6528
4,7,0,121,23,7363
6,1,84,1013,1324,7932
6,2,3,476,16,9668
6,3,6,820,100,9471
6,4,6,52,1011,9360
6,5,11,696,966,8723
6,6,1,292,16,9863
6,7,12,757,559,8940
8,1,10,1159,867,10972
8,2,0,28,27,12678
8,3,1,69,22,12897
8,4,0,70,32,12875
8,5,8,830,535,11597
8,6,1,54,23,12922
8,7,0,79,57,12808
10,1,0,59,153,12422
10,2,0,35,16,12319
10,3,0,73,10,12514
10,4,0,69,15,12536
10,5,0,49,23,12540
10,6,1,47,17,12535
10,7,2,73,36,12415
12,1,3,29,20,10218
12,2,3,22,14,9971
12,3,121,3499,4381,2211
12,4,2,67,24,10171
12,5,2,33,15,10176
12,6,2,36,18,10145
12,7,4,4486,14,5667
