day,CpG,TT,TC,CT,CC
0,1,407,735,392,4463
0,2,266,401,593,4733
0,3,84,865,526,4513
0,4,566,918,438,4062
0,5,641,973,92,4279
0,6,139,973,420,4462
0,7,111,947,170,4786
0,8,748,239,781,4240
0,9,406,506,321,4785
0,10,139,1068,356,4458
0,11,647,680,46,4641
0,12,370,434,269,4935
0,13,478,1229,11,4295
1,1,1962,515,785,1709
1,2,2788,140,655,1386
1,3,880,469,301,3307
1,4,1376,416,1039,2135
1,5,1370,750,693,2137
1,6,1497,758,620,2103
1,7,763,483,915,2825
1,8,1466,134,367,3013
1,9,1224,354,286,3072
1,10,1276,935,885,1887
1,11,1077,471,823,2609
1,12,1559,603,708,2097
1,13,1113,710,1143,2017
2,1,5461,109,55,205
2,2,5418,62,55,320
2,3,4624,661,128,415
2,4,4646,602,288,304
2,5,4032,412,602,793
2,6,4296,550,144,883
2,7,4101,914,176,692
2,8,4741,70,354,706
2,9,3853,680,576,750
2,10,2719,1248,680,1227
2,11,4235,616,440,587
2,12,3489,687,709,987
2,13,3186,1119,400,1176
3,1,5245,17,26,48
3,2,5245,20,17,51
3,3,5230,22,23,47
3,4,5226,29,11,46
3,5,5213,20,25,85
3,6,5198,21,93,51
3,7,5113,85,104,51
3,8,5287,14,13,51
3,9,5063,52,98,137
3,10,4293,218,333,457
3,11,5100,58,112,51
3,12,4651,278,132,245
3,13,4954,170,146,48
