day,CpG,TT,TC,CT,CC
0,1,3274,476,1091,1793
0,2,3127,816,487,2213
0,3,4247,424,772,1189
0,4,2800,985,734,2136
0,5,4591,972,918,134
0,6,2139,1118,530,2834
0,7,2101,788,910,2813
0,8,3088,827,534,2192
1,1,7732,1106,1103,1809
1,2,7381,1247,975,2158
1,3,7326,1394,1433,1581
1,4,5083,1552,1726,3416
1,5,8352,1270,1135,988
1,6,2389,2672,2371,4336
1,7,3991,1324,2322,4126
1,8,5911,1513,1130,3199
2,1,10154,1428,1089,1065
2,2,9677,1546,696,1817
2,3,9703,1593,1169,1252
2,4,7702,2149,1401,2491
2,5,11182,1205,986,332
2,6,6623,2349,2616,2180
2,7,7469,2249,1928,2046
2,8,8840,2237,1035,1641
3,1,12991,222,501,302
3,2,13169,436,199,221
3,3,13216,227,306,258
3,4,12189,620,806,391
3,5,13424,239,246,67
3,6,11366,1150,647,891
3,7,11487,965,725,806
3,8,12985,318,343,354
