day,CpG,TT,TC,CT,CC
0,1,136,304,74,1042
0,2,107,236,106,1112
0,3,233,161,178,986
0,4,166,193,164,1038
0,5,355,157,127,924
0,6,239,151,156,1019
0,7,350,229,275,709
0,8,191,264,178,924
1,1,1252,1121,848,4170
1,2,1724,827,888,3958
1,3,1349,1132,850,4070
1,4,939,1139,742,4577
1,5,1649,1221,775,3781
1,6,1613,789,724,4290
1,7,2064,746,830,3768
1,8,1237,1182,592,4388
3,1,4946,530,226,717
3,2,5251,654,162,397
3,3,4196,1082,421,751
3,4,3743,899,666,1146
3,5,5523,411,151,340
3,6,4552,637,464,804
3,7,5323,124,495,512
3,8,4963,538,398,535
6,1,4010,33,74,43
6,2,4058,47,35,25
6,3,3983,74,21,88
6,4,3717,181,159,114
6,5,4060,49,37,28
6,6,4068,47,49,15
6,7,4112,19,45,5
6,8,4046,53,37,27
