day,CpG,TT,TC,CT,CC
0,1,2733,168,136,355
0,2,2914,110,148,148
0,3,2119,289,259,619
0,4,2327,239,212,505
0,5,2777,188,136,381
0,6,2302,172,215,562
0,7,2565,174,167,440
0,8,2864,163,120,316
0,9,2974,151,98,301
0,10,2941,136,161,379
0,11,3030,116,113,319
0,12,2756,127,60,231
0,13,3149,102,91,261
3,1,2609,112,96,177
3,2,2719,89,102,160
3,3,2274,205,139,345
3,4,2471,141,112,231
3,5,2789,95,74,158
3,6,2424,104,139,281
3,7,2662,95,79,192
3,8,2848,81,56,136
3,9,2874,83,59,130
3,10,2874,69,104,178
3,11,2909,82,74,174
3,12,2628,53,58,125
3,13,2982,67,58,133
6,1,4016,92,77,160
6,2,4113,72,105,121
6,3,3609,179,157,246
6,4,3806,99,74,151
6,5,4165,66,46,99
6,6,3763,72,116,205
6,7,4048,56,53,94
6,8,4280,44,41,64
6,9,4307,50,39,81
6,10,4348,56,71,118
6,11,4308,79,79,144
6,12,3919,44,49,73
6,13,4407,52,47,87
