day,CpG,TT,TC,CT,CC
0,1,471,1903,562,5365
0,2,19,2751,846,4698
0,3,32,1909,1373,4976
0,4,924,1181,1522,4680
0,5,14,3003,148,5104
0,6,4,1063,380,6865
0,7,4,1333,145,6865
0,8,346,1911,2207,3895
0,9,807,2476,46,4988
0,10,83,1679,959,5642
0,11,8,2145,1158,5057
0,12,3,1108,648,6536
0,13,5,1014,2629,4705
1,1,2,823,8,4703
1,2,190,1183,428,3734
1,3,6,1017,740,3763
1,4,95,526,257,4645
1,5,284,1910,893,2436
1,6,134,1242,684,3397
1,7,6,1096,603,3836
1,8,500,295,112,4628
1,9,4,1016,87,4430
1,10,219,185,526,4624
1,11,69,1101,9,4359
1,12,4,653,348,4522
1,13,69,761,1137,3580
2,1,3,611,309,3845
2,2,25,1166,565,3016
2,3,2,845,434,3497
2,4,6,572,701,3497
2,5,412,173,838,3341
2,6,162,564,187,3829
2,7,387,305,843,3246
2,8,374,762,794,2828
2,9,532,563,179,3496
2,10,415,173,683,3512
2,11,379,779,603,3022
2,12,189,811,370,3348
2,13,8,889,396,3492
3,1,1074,1153,387,4803
3,2,1068,1635,388,4348
3,3,1888,820,746,3962
3,4,1387,801,164,5074
3,5,1770,1570,625,3441
3,6,1709,1314,488,3898
3,7,1928,1053,605,3847
3,8,1959,558,900,4021
3,9,2179,1058,504,3666
3,10,1536,1264,403,4233
3,11,1577,1922,15,3895
3,12,736,1036,828,4746
3,13,1817,1994,688,2936
