day,CpG,TT,TC,CT,CC
0,1,476,1586,491,6766
0,2,781,1176,893,6458
0,3,262,930,682,7424
0,4,1456,1311,807,5733
0,5,607,1921,876,5892
0,6,467,865,947,7002
0,7,276,1416,973,6681
0,8,685,1314,1155,6175
0,9,735,1498,864,6207
0,10,373,1193,1424,6367
0,11,1127,1364,1356,5494
0,12,130,1185,976,7057
0,13,421,1539,1289,6096
1,1,1795,1702,1069,3925
1,2,1576,1626,1018,4274
1,3,1333,1250,1365,4526
1,4,1947,1815,820,3902
1,5,837,2382,843,4408
1,6,767,2024,1249,4434
1,7,563,1772,1224,4935
1,8,1068,1702,1835,3907
1,9,709,2237,662,4830
1,10,1374,1684,836,4610
1,11,699,2296,1147,4369
1,12,588,1495,683,5719
1,13,548,2033,876,5060
2,1,5388,1013,643,1011
2,2,5586,910,507,1038
2,3,4140,1184,1024,1691
2,4,4745,1343,803,1148
2,5,3575,1525,1458,1487
2,6,3781,1528,1062,1660
2,7,3560,1748,984,1781
2,8,4231,1091,1327,1432
2,9,3051,2427,803,1788
2,10,2128,1845,1604,2504
2,11,4303,1672,935,1161
2,12,2315,1381,1492,2880
2,13,2147,2124,1084,2702
3,1,12536,41,89,19
3,2,12348,146,75,112
3,3,12087,115,322,115
3,4,12198,208,186,69
3,5,11530,382,501,261
3,6,11597,492,352,292
3,7,11556,518,361,290
3,8,12099,252,246,115
3,9,11186,805,368,364
3,10,10171,696,758,1112
3,11,11917,322,118,318
3,12,11050,647,366,637
3,13,10551,703,452,1022
