day,CpG,TT,TC,CT,CC
0,1,1,67,28,13855
0,2,0,61,27,13504
0,3,2,130,34,13595
0,4,8,1375,26,11530
2,1,8,48,2772,10263
2,2,0,67,20,12653
2,3,7,2155,42,10757
2,4,9,1444,34,10539
4,1,1,23,8,3099
4,2,2,571,4,2508
4,3,1,24,74,2997
4,4,1,407,3,2481
6,1,0,21,10,4183
6,2,0,23,230,3850
6,3,3,53,223,3892
6,4,31,413,224,3237
8,1,1,27,9,4715
8,2,1,19,514,4104
8,3,3,38,236,4428
8,4,1,438,15,4003
10,1,1,77,44,11593
10,2,0,57,12,11352
10,3,0,154,34,11391
10,4,4,1197,19,9651
12,1,0,20,3,3946
12,2,0,14,5,3805
12,3,0,38,8,3915
12,4,5,827,7,2842
