day,CpG,TT,TC,CT,CC
0,1,3438,674,561,3353
0,2,3870,550,631,3002
0,3,2588,900,661,3914
0,4,3491,665,679,3264
0,5,2795,953,737,3591
0,6,3308,596,657,3517
1,1,3293,660,825,2777
1,2,3800,701,523,2525
1,3,2505,976,569,3522
1,4,3902,460,452,2784
1,5,3025,869,988,2724
1,6,3864,782,685,2167
3,1,5659,299,576,966
3,2,5938,537,421,623
3,3,4966,371,533,1636
3,4,6119,428,336,671
3,5,5352,469,584,1161
3,6,5982,397,180,1002
6,1,7382,38,96,231
6,2,7305,188,146,113
6,3,7046,106,221,397
6,4,7482,45,31,226
6,5,7264,162,79,267
6,6,7643,31,46,76
