hour,CpG,TT,TC,CT,CC
0,1,198,386,174,2035
0,2,1349,388,333,630
0,3,161,197,188,2243
0,4,200,224,170,2186
0,5,38,86,61,2602
0,6,40,85,73,2580
0,7,60,70,62,2575
2,1,1482,1066,562,4427
2,2,4842,709,522,1298
2,3,775,697,300,5751
2,4,793,1009,424,5271
2,5,238,571,305,6406
2,6,164,161,175,7002
2,7,209,239,109,6935
4,1,798,379,276,832
4,2,1635,192,170,274
4,3,274,355,137,1534
4,4,416,584,136,1147
4,5,198,261,229,1605
4,6,93,92,163,1948
4,7,77,45,34,2129
6,1,710,203,123,274
6,2,1040,101,66,80
6,3,193,329,108,680
6,4,537,366,74,330
6,5,321,212,171,609
6,6,111,75,131,981
6,7,38,25,49,1187
8,1,8360,656,612,1109
8,2,9533,217,338,470
8,3,3077,2918,777,4032
8,4,6607,1928,501,1728
8,5,4885,1578,1052,3250
8,6,1855,912,1556,6419
8,7,252,364,536,9582
10,1,7477,861,791,2163
10,2,8671,580,646,1197
10,3,3565,2399,951,4416
10,4,6429,1389,654,2854
10,5,5297,1236,1046,3723
10,6,2029,941,1530,6737
10,7,367,650,609,9597
12,1,8817,491,355,865
12,2,9383,196,299,475
12,3,4055,2777,853,2896
12,4,7947,1167,325,1113
12,5,6955,989,735,1903
12,6,3070,1038,1467,4886
12,7,298,309,796,9031
