day,CpG,TT,TC,CT,CC
0,1,3387,462,676,1757
0,2,2908,622,899,1853
0,3,1180,842,888,2631
0,4,2331,347,999,2017
0,5,1866,293,910,3214
0,6,978,666,878,3663
0,7,1743,606,617,3190
0,8,1935,937,720,2532
1,1,3544,307,782,728
1,2,3035,638,880,800
1,3,1488,1057,882,1479
1,4,2418,536,800,1236
1,5,2193,659,1003,1477
1,6,1269,784,879,2335
1,7,1750,857,836,1845
1,8,1906,1278,632,1449
3,1,7018,564,877,240
3,2,6218,592,988,916
3,3,4042,1322,1153,1594
3,4,5642,461,1114,1074
3,5,4936,985,1271,1496
3,6,4085,1036,1095,2375
3,7,4835,1148,1143,1465
3,8,5592,1101,678,1223
6,1,5056,21,85,43
6,2,4956,129,90,58
6,3,4277,311,225,280
6,4,4688,34,260,174
6,5,4686,141,136,243
6,6,4270,253,203,446
6,7,4639,172,110,274
6,8,4858,178,70,39
