day,CpG,TT,TC,CT,CC
2,1,10,148,153,15311
2,2,6,350,474,14541
2,3,4,358,282,14938
2,4,254,465,287,14583
2,5,828,278,647,13896
4,1,113,231,529,11821
4,2,98,170,371,11875
4,3,42,448,184,11972
4,4,524,490,534,11123
4,5,442,267,359,11654
6,1,501,194,1056,11319
6,2,201,182,723,11640
6,3,321,1281,336,11077
6,4,1267,454,680,10666
6,5,787,529,522,11274
8,1,491,490,1459,11189
8,2,378,824,1050,10868
8,3,491,1968,495,10565
8,4,1242,1026,1189,10146
8,5,523,505,809,11812
10,1,1340,591,1834,8202
10,2,1095,879,1156,7997
10,3,1222,2401,637,7613
10,4,2171,992,1167,7578
10,5,713,600,1183,9495
12,1,857,461,1040,4158
12,2,622,528,771,4122
12,3,904,1467,363,3751
12,4,1355,623,697,3846
12,5,648,411,732,4751
14,1,2242,922,2364,7987
14,2,1838,1112,1574,7774
14,3,2329,2832,870,7406
14,4,3467,1304,1550,7184
14,5,1703,938,1449,9477
16,1,2151,877,1800,7401
16,2,1695,967,1155,7417
16,3,2047,2481,840,6764
16,4,2795,1112,1294,6991
16,5,1565,729,1584,8363
18,1,2071,903,1962,10044
18,2,1563,945,1355,10020
18,3,2054,2364,848,9609
18,4,2967,1256,1554,9142
18,5,1766,825,1585,10850
20,1,2582,907,2458,7786
20,2,1994,1145,1686,7621
20,3,2601,3020,902,7136
20,4,3714,1327,1883,6761
20,5,1958,802,1589,9425
24,1,954,412,1070,4426
24,2,658,473,780,4407
24,3,964,1254,446,4132
24,4,1390,612,834,3976
24,5,676,367,861,4956
