day,CpG,TT,TC,CT,CC
0,1,3113,290,240,563
0,2,3347,167,280,450
0,3,2123,468,484,1009
0,4,2410,425,362,862
0,5,3135,354,238,583
0,6,2480,330,307,944
0,7,2785,346,316,700
0,8,3229,353,247,476
0,9,3421,307,170,459
0,10,3178,337,300,616
0,11,3635,190,142,464
0,12,3290,191,133,331
0,13,3706,205,157,376
3,1,3260,257,214,366
3,2,3459,145,237,311
3,3,2454,389,428,672
3,4,2872,278,300,499
3,5,3508,217,175,321
3,6,2780,331,267,571
3,7,3250,228,237,332
3,8,3593,205,162,236
3,9,3686,184,136,232
3,10,3531,200,219,364
3,11,3729,148,142,265
3,12,3376,143,107,188
3,13,3838,144,125,211
6,1,5514,244,240,322
6,2,5672,162,279,291
6,3,4750,383,374,531
6,4,5171,281,246,396
6,5,5904,192,133,239
6,6,5064,281,256,455
6,7,5578,186,190,233
6,8,6072,185,136,141
6,9,6147,161,129,161
6,10,6042,184,202,285
6,11,6100,192,142,282
6,12,5578,119,101,148
6,13,6275,127,127,162
