day,CpG,TT,TC,CT,CC
0,1,3113,290,240,563
0,2,3347,167,280,450
0,3,2123,468,484,1009
0,4,2410,425,362,862
0,5,3135,354,238,583
0,6,2480,330,307,944
0,7,2785,346,316,700
0,8,3229,353,247,476
0,9,3421,307,170,459
0,10,3178,337,300,616
0,11,3635,190,142,464
0,12,3290,191,133,331
0,13,3706,205,157,376
1,1,2256,208,165,344
1,2,2483,104,205,273
1,3,1640,298,389,617
1,4,1868,274,272,526
1,5,2301,232,168,375
1,6,1825,270,255,568
1,7,2088,222,229,417
1,8,2376,205,183,328
1,9,2495,179,152,311
1,10,2338,205,204,431
1,11,2601,131,136,293
1,12,2343,116,92,225
1,13,2676,127,111,260
2,1,3260,257,214,366
2,2,3459,145,237,311
2,3,2454,389,428,672
2,4,2872,278,300,499
2,5,3508,217,175,321
2,6,2780,331,267,571
2,7,3250,228,237,332
2,8,3593,205,162,236
2,9,3686,184,136,232
2,10,3531,200,219,364
2,11,3729,148,142,265
2,12,3376,143,107,188
2,13,3838,144,125,211
3,1,5514,244,240,322
3,2,5672,162,279,291
3,3,4750,383,374,531
3,4,5171,281,246,396
3,5,5904,192,133,239
3,6,5064,281,256,455
3,7,5578,186,190,233
3,8,6072,185,136,141
3,9,6147,161,129,161
3,10,6042,184,202,285
3,11,6100,192,142,282
3,12,5578,119,101,148
3,13,6275,127,127,162
