day,CpG,TT,TC,CT,CC
0,1,147,170,130,1769
0,2,51,65,73,1977
0,3,220,105,95,1774
0,4,47,318,23,1618
2,1,349,176,237,2680
2,2,136,75,102,3042
2,3,387,133,145,2749
2,4,117,455,61,2496
4,1,94,74,60,799
4,2,54,43,26,883
4,3,125,32,44,805
4,4,29,140,19,749
6,1,27,20,33,344
6,2,10,16,10,381
6,3,32,14,15,362
6,4,7,48,3,323
8,1,344,304,215,3170
8,2,135,154,118,3509
8,3,369,201,140,3282
8,4,116,503,75,2982
10,1,522,365,329,2565
10,2,201,145,105,3256
10,3,462,219,103,2957
10,4,101,454,53,2768
12,1,562,443,347,2594
12,2,144,118,119,3444
12,3,442,135,200,3117
12,4,92,448,91,2973
