day,CpG,TT,TC,CT,CC
0,1,11,53,19,170
0,2,147,402,543,3280
0,3,179,417,326,3255
0,4,182,447,376,3271
0,5,64,76,17,30
0,6,213,470,347,3285
1,1,29,111,31,243
1,2,235,715,817,3989
1,3,268,720,563,4012
1,4,286,720,636,3974
1,5,123,152,23,39
1,6,341,771,545,4017
2,1,49,151,43,269
2,2,548,797,1105,4356
2,3,512,918,714,4405
2,4,540,899,710,4494
2,5,204,150,24,50
2,6,672,895,657,4488
3,1,124,163,74,368
3,2,932,845,1217,4497
3,3,920,912,721,4560
3,4,887,927,817,4626
3,5,329,164,37,74
3,6,1047,932,709,4669
