day,CpG,TT,TC,CT,CC
0,1,2444,747,585,4330
0,2,3684,1119,462,3930
0,3,3165,909,678,4462
0,4,3484,900,660,4176
0,5,3848,678,887,3822
0,6,4093,1148,282,3665
1,1,2042,805,822,5094
1,2,3535,1395,923,3898
1,3,2710,657,1043,5357
1,4,3080,1256,1005,4442
1,5,3472,1363,1145,3794
1,6,3602,1268,880,4015
2,1,2504,509,639,1899
2,2,3648,659,597,1722
2,3,2873,808,607,2363
2,4,3612,663,577,1761
2,5,3994,391,548,1726
2,6,3907,483,473,1774
3,1,4217,361,614,2875
3,2,5918,792,721,2259
3,3,5058,559,827,3288
3,4,6043,870,620,2236
3,5,6554,572,700,1966
3,6,6896,769,555,1535
