day,CpG,TT,TC,CT,CC
0,1,80,54,50,702
0,2,37,35,39,748
0,3,86,33,19,732
0,4,23,100,21,659
2,1,57,94,15,628
2,2,14,17,9,731
2,3,57,18,30,681
2,4,26,92,16,564
4,1,155,139,99,1113
4,2,58,62,36,1313
4,3,190,57,25,1228
4,4,52,180,42,1084
6,1,318,307,513,2145
6,2,117,113,97,2890
6,3,551,148,39,2516
6,4,266,326,124,2276
8,1,656,458,274,2027
8,2,155,177,87,2941
8,3,583,63,223,2533
8,4,142,448,70,2450
10,1,333,281,231,1337
10,2,87,178,107,1752
10,3,224,143,93,1705
10,4,94,231,58,1630
12,1,373,198,239,525
12,2,55,53,88,1102
12,3,134,71,107,1022
12,4,9,166,72,973
