day,CpG,TT,TC,CT,CC
0,1,2976,791,1149,3639
0,2,3105,1198,966,3296
0,3,2040,794,1164,4592
0,4,2902,1188,985,3540
0,5,2501,883,1242,3972
0,6,3349,1091,791,3324
1,1,2911,859,866,2698
1,2,3043,1409,788,2090
1,3,2169,1067,1175,2943
1,4,3161,1017,925,2276
1,5,2649,905,957,2880
1,6,3080,1085,629,2544
3,1,4135,799,922,1492
3,2,4718,827,814,983
3,3,3515,887,1244,1735
3,4,4853,836,847,874
3,5,4227,718,1133,1296
3,6,4659,883,745,1092
6,1,3117,107,114,119
6,2,3257,59,96,57
6,3,3086,94,153,155
6,4,3304,93,45,49
6,5,3116,89,149,132
6,6,3241,96,70,83
