day,CpG,TT,TC,CT,CC
0,1,1381,1649,1498,8349
0,2,1930,1221,1839,7865
0,3,2344,1462,1723,7348
0,4,1207,1731,1557,8372
0,5,2195,1435,1341,7920
0,6,1925,1144,1802,8000
0,7,2132,1159,2032,7580
0,8,1365,1507,1656,8282
1,1,1400,1592,1468,5593
1,2,1686,1449,1445,5446
1,3,1984,1776,818,5485
1,4,1313,1588,1383,5777
1,5,2236,1417,1208,5223
1,6,1663,1017,1473,5929
1,7,2569,1263,1941,4304
1,8,1444,1845,1486,5289
2,1,3830,1327,1285,1804
2,2,4206,1049,1368,1657
2,3,3592,1406,1293,1966
2,4,2531,1455,1646,2607
2,5,5201,960,961,1159
2,6,3696,1211,1673,1702
2,7,4558,1139,1503,1079
2,8,3677,1473,1236,1890
3,1,14198,589,405,284
3,2,14788,340,237,154
3,3,13900,778,493,341
3,4,12104,1224,1481,694
3,5,15122,196,118,109
3,6,14151,548,527,332
3,7,14641,339,399,174
3,8,13979,747,440,346
