hours,CpG,TT,TC,CT,CC
2,1,160,196,101,514
2,2,793,26,35,113
2,3,187,88,36,657
2,4,113,47,70,740
2,5,74,190,15,693
2,6,0,0,27,943
2,7,0,37,4,932
4,1,1729,703,590,1778
4,2,3641,151,438,568
4,3,1000,794,187,2793
4,4,1496,489,450,2344
4,5,153,164,345,4147
4,6,273,57,284,4178
4,7,315,326,298,3813
6,1,699,307,509,1125
6,2,2233,69,74,272
6,3,542,384,86,1618
6,4,768,282,169,1406
6,5,344,200,328,1773
6,6,0,28,253,2353
6,7,1,53,13,2575
8,1,976,390,293,656
8,2,1465,344,208,306
8,3,453,379,205,1262
8,4,601,501,245,949
8,5,406,287,367,1252
8,6,205,169,183,1738
8,7,23,88,67,2129
10,1,442,176,114,353
10,2,864,79,60,81
10,3,316,205,102,456
10,4,405,234,104,334
10,5,236,76,150,618
10,6,112,84,87,796
10,7,38,25,111,883
12,1,1083,252,175,486
12,2,1483,145,121,245
12,3,657,384,304,633
12,4,796,457,142,588
12,5,673,333,182,813
12,6,304,389,222,1073
12,7,95,23,119,1732
14,1,1266,181,299,316
14,2,1888,49,109,21
14,3,940,383,253,493
14,4,944,271,264,578
14,5,918,240,243,676
14,6,672,315,146,921
14,7,79,152,283,1493
16,1,5845,541,772,1168
16,2,7595,285,232,247
16,3,4744,1263,617,1646
16,4,4898,884,831,1680
16,5,4153,662,1050,2407
16,6,2303,1201,1052,3673
16,7,431,299,747,6725
18,1,4715,743,975,1362
18,2,6079,692,510,532
18,3,4196,820,778,1937
18,4,4533,823,1081,1332
18,5,3590,1068,1027,2155
18,6,1696,1056,1782,3185
18,7,372,547,1275,5418
20,1,2389,397,376,429
20,2,3023,193,137,237
20,3,2320,368,247,628
20,4,2013,657,228,683
20,5,1784,517,466,781
20,6,1352,283,539,1391
20,7,192,62,637,2626
24,1,2603,273,408,578
24,2,2891,324,387,266
24,3,2365,539,264,677
24,4,2544,440,432,437
24,5,1761,483,469,1159
24,6,1153,399,394,1881
24,7,189,327,372,2925
