day,CpG,TT,TC,CT,CC
0,1,138,330,10,1685
0,2,140,55,408,1557
0,3,141,129,187,1695
0,4,141,129,189,1702
0,5,344,298,73,1439
0,6,141,6,401,1606
0,7,270,109,266,1528
0,8,265,7,572,1313
0,9,142,4,332,1679
0,10,207,216,476,1269
0,11,299,193,5,1668
0,12,1,61,47,2055
0,13,1,60,195,1915
1,1,10,1008,1106,6302
1,2,9,523,2070,5765
1,3,478,1258,1971,4695
1,4,840,1322,1099,5169
1,5,141,927,2255,5081
1,6,5,825,567,7008
1,7,6,1196,1155,6092
1,8,126,575,1053,6672
1,9,223,1644,432,6138
1,10,170,1128,513,6628
1,11,307,1641,791,5705
1,12,55,1491,260,6554
1,13,6,1037,1344,6012
2,1,505,1971,132,4145
2,2,452,1354,695,4270
2,3,667,881,1129,4070
2,4,1286,471,606,4408
2,5,855,1813,1175,2904
2,6,122,1145,780,4619
2,7,1029,798,764,4191
2,8,350,1472,1706,3252
2,9,602,1175,936,4048
2,10,804,1291,1290,3410
2,11,2153,498,708,3419
2,12,855,289,341,5157
2,13,1170,882,907,3823
3,1,320,1852,388,6801
3,2,512,1472,579,6802
3,3,492,1311,1389,6154
3,4,1630,1396,1224,5126
3,5,1399,1914,696,5324
3,6,627,1232,407,7049
3,7,827,1877,748,5907
3,8,1079,1441,1537,5314
3,9,1145,1928,499,5768
3,10,1544,1415,1065,5352
3,11,1109,1917,674,5671
3,12,600,1379,1039,6189
3,13,1809,1704,475,5396
