day,CpG,TT,TC,CT,CC
0,1,2352,932,613,4250
0,2,3144,1013,570,4508
0,3,2415,1159,953,4762
0,4,2780,1026,1135,4357
0,5,3193,653,906,4551
0,6,3397,1006,1055,3803
1,1,1492,555,907,2733
1,2,2814,426,173,3141
1,3,1705,730,862,3282
1,4,2177,640,755,2998
1,5,3028,629,527,2371
1,6,2593,733,407,2824
2,1,2125,290,355,2025
2,2,3292,314,494,1653
2,3,3025,419,243,2075
2,4,2977,537,498,1742
2,5,3197,339,452,1788
2,6,3302,344,461,1648
3,1,2100,194,436,1446
3,2,3197,310,259,1217
3,3,2265,516,649,1572
3,4,2839,532,377,1269
3,5,3461,417,215,910
3,6,3421,244,237,1101
