day,CpG,TT,TC,CT,CC
0,1,396,4290,4544,34841
0,2,396,4290,4544,34841
0,3,396,4290,4544,34841
0,4,396,4290,4544,34841
0,5,396,4290,4544,34841
1,1,1015,6173,5734,46743
1,2,1015,6173,5734,46743
1,3,1015,6173,5734,46743
1,4,1015,6173,5734,46743
1,5,1015,6173,5734,46743
3,1,857,7133,7159,55738
3,2,857,7133,7159,55738
3,3,857,7133,7159,55738
3,4,857,7133,7159,55738
3,5,857,7133,7159,55738
6,1,372,2447,2060,18781
6,2,372,2447,2060,18781
6,3,372,2447,2060,18781
6,4,372,2447,2060,18781
6,5,372,2447,2060,18781
