day,CpG,TT,TC,CT,CC
0,1,607,247,260,1790
0,2,787,192,287,1674
0,3,312,231,254,2070
0,4,282,267,235,2055
0,5,487,340,281,1895
0,6,305,234,277,2027
0,7,411,268,282,1888
0,8,503,318,286,1805
0,9,604,310,322,1759
0,10,538,252,338,1893
0,11,849,284,263,1630
0,12,675,323,227,1445
0,13,811,320,288,1614
1,1,806,321,355,2261
1,2,1050,261,379,2126
1,3,394,308,418,2554
1,4,363,392,338,2570
1,5,644,450,370,2406
1,6,419,304,338,2560
1,7,495,350,415,2391
1,8,581,492,400,2287
1,9,760,467,404,2266
1,10,684,375,426,2406
1,11,1078,415,398,2029
1,12,896,476,324,1746
1,13,1018,486,413,1985
2,1,893,320,298,1796
2,2,1038,250,359,1713
2,3,468,326,318,2083
2,4,416,375,286,2180
2,5,753,459,338,1878
2,6,505,324,315,2025
2,7,571,380,348,1913
2,8,729,458,339,1772
2,9,860,469,346,1757
2,10,773,368,370,1931
2,11,1191,380,349,1546
2,12,968,452,247,1355
2,13,1180,451,317,1513
3,1,836,248,251,1586
3,2,981,234,303,1441
3,3,441,279,283,1842
3,4,395,301,239,1893
3,5,715,335,289,1684
3,6,481,246,288,1778
3,7,532,287,303,1685
3,8,668,364,300,1515
3,9,830,359,274,1540
3,10,728,319,339,1635
3,11,1142,283,262,1356
3,12,936,370,223,1164
3,13,1097,372,277,1293
