day,CpG,TT,TC,CT,CC
0,1,443,355,552,19649
0,2,360,599,340,19647
0,3,238,300,334,20114
2,1,386,378,601,17656
2,2,400,652,372,17641
2,3,203,220,478,18168
4,1,298,678,678,22373
4,2,413,516,677,22397
4,3,113,652,680,22556
6,1,269,498,668,24163
6,2,885,609,701,23385
6,3,246,892,592,23853
8,1,247,950,1385,21754
8,2,1716,2498,1757,18429
8,3,887,1589,1612,20295
10,1,685,1420,1868,19098
10,2,2659,2712,2037,15671
10,3,1697,2399,1664,17269
12,1,1825,2219,3131,20770
12,2,4947,4122,2920,16007
12,3,3415,3202,3110,18183
14,1,1907,1936,1911,11483
14,2,4614,2325,2070,8243
14,3,3546,2427,1939,9262
16,1,2294,2109,2710,12199
16,2,5019,2974,2300,9008
16,3,3893,2467,2318,10523
18,1,1537,1427,1824,9299
18,2,3324,1910,1603,7210
18,3,2519,1797,1540,8165
20,1,2505,2064,2391,10367
20,2,5138,2489,2080,7586
20,3,3921,2347,1887,9071
