day,CpG,TT,TC,CT,CC
0,1,3824,176,272,1115
0,2,3145,413,540,1284
0,3,1702,461,634,2028
0,4,2190,679,285,1829
0,5,2556,232,462,2133
0,6,1021,593,693,3004
0,7,1887,718,615,2060
0,8,1458,1202,366,2251
1,1,4338,238,396,1048
1,2,3788,623,377,1252
1,3,2130,1215,479,1733
1,4,3509,413,419,1385
1,5,3282,400,537,1778
1,6,2461,604,466,2386
1,7,3108,793,281,1748
1,8,3020,680,543,1641
3,1,6613,134,217,225
3,2,6140,204,341,528
3,3,4870,712,505,830
3,4,5609,462,340,664
3,5,5626,203,486,872
3,6,4735,335,633,1421
3,7,5379,701,381,664
3,8,5718,379,296,705
6,1,6120,81,100,60
6,2,5841,72,303,164
6,3,5230,448,240,362
6,4,5685,103,340,170
6,5,5569,175,246,351
6,6,5000,401,413,466
6,7,5475,313,280,276
6,8,5922,200,112,92
