hour,CpG,TT,TC,CT,CC
0,1,542,658,290,1643
0,2,1913,325,364,462
0,3,254,321,193,2358
0,4,294,311,235,2276
0,5,82,111,251,2697
0,6,111,79,143,2792
0,7,37,137,87,2855
2,1,441,325,239,859
2,2,1314,208,89,188
2,3,153,293,126,1303
2,4,447,336,174,916
2,5,156,64,130,1526
2,6,81,144,28,1624
2,7,64,71,121,1604
4,1,2194,233,439,848
4,2,2730,196,194,468
4,3,1050,788,220,1641
4,4,1655,441,279,1328
4,5,1142,632,353,1576
4,6,627,423,505,2120
4,7,177,225,236,3026
6,1,5816,664,306,1669
6,2,6638,261,248,1153
6,3,3230,1597,765,2888
6,4,4566,1105,569,2012
6,5,4315,1127,721,2338
6,6,2633,1197,950,3598
6,7,71,584,1869,5803
8,1,6552,382,181,579
8,2,6702,211,140,531
8,3,4961,900,680,1208
8,4,6433,344,126,829
8,5,5855,497,300,1106
8,6,3840,747,1035,1984
8,7,471,507,2249,4315
10,1,1318,145,129,358
10,2,1496,80,96,255
10,3,948,373,96,548
10,4,1150,183,94,513
10,5,1107,127,90,636
10,6,830,166,162,772
10,7,231,159,371,1144
12,1,4311,72,147,420
12,2,4293,80,163,361
12,3,4225,196,129,438
12,4,4382,54,129,435
12,5,3945,424,98,495
12,6,3099,190,504,1081
12,7,735,286,1539,2217
